The copyright to the intellectual property of this file is held by www.climatedata.info
Title,Average albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference,"Barkstrom, B. R., 1984. The Earth Radiation Budget Experiment (ERBE). Bull.Amer. Meteorol. Soc., 65:1170-1185.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL,http://islscp2.sesda.com/ISLSCP2_1/data/vegetation/erbe_albedo_monthly_xdeg/0_erbe_albedo_readme.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing,Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat\Lon,Average,178.75,176.25,173.75,171.25,168.75,166.25,163.75,161.25,158.75,156.25,153.75,151.25,148.75,146.25,143.75,141.25,138.75,136.25,133.75,131.25,128.75,126.25,123.75,121.25,118.75,116.25,113.75,111.25,108.75,106.25,103.75,101.25,98.75,96.25,93.75,91.25,88.75,86.25,83.75,81.25,78.75,76.25,73.75,71.25,68.75,66.25,63.75,61.25,58.75,56.25,53.75,51.25,48.75,46.25,43.75,41.25,38.75,36.25,33.75,31.25,28.75,26.25,23.75,21.25,18.75,16.25,13.75,11.25,8.75,6.25,3.75,1.25,-1.25,-3.75,-6.25,-8.75,-11.25,-13.75,-16.25,-18.75,-21.25,-23.75,-26.25,-28.75,-31.25,-33.75,-36.25,-38.75,-41.25,-43.75,-46.25,-48.75,-51.25,-53.75,-56.25,-58.75,-61.25,-63.75,-66.25,-68.75,-71.25,-73.75,-76.25,-78.75,-81.25,-83.75,-86.25,-88.75,-91.25,-93.75,-96.25,-98.75,-101.25,-103.75,-106.25,-108.75,-111.25,-113.75,-116.25,-118.75,-121.25,-123.75,-126.25,-128.75,-131.25,-133.75,-136.25,-138.75,-141.25,-143.75,-146.25,-148.75,-151.25,-153.75,-156.25,-158.75,-161.25,-163.75,-166.25,-168.75,-171.25,-173.75,-176.25,-178.75
88.75,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.25,0.594097222,0.58,0.58,0.6,0.6,0.58,0.58,0.58,0.57,0.59,0.58,0.59,0.59,0.59,0.58,0.6,0.59,0.58,0.59,0.57,0.59,0.59,0.6,0.6,0.59,0.59,0.6,0.59,0.6,0.6,0.6,0.59,0.61,0.61,0.59,0.6,0.61,0.6,0.59,0.6,0.61,0.6,0.59,0.6,0.6,0.62,0.6,0.61,0.6,0.6,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.6,0.61,0.61,0.59,0.6,0.6,0.6,0.6,0.59,0.6,0.6,0.6,0.61,0.6,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.6,0.6,0.59,0.6,0.6,0.59,0.6,0.59,0.59,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.59,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.6,0.61,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.57,0.58,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.58,0.58
83.75,0.611458333,0.6,0.62,0.61,0.62,0.61,0.62,0.61,0.61,0.62,0.61,0.61,0.63,0.62,0.62,0.61,0.62,0.62,0.61,0.62,0.61,0.61,0.61,0.62,0.62,0.62,0.62,0.61,0.61,0.62,0.62,0.62,0.62,0.61,0.61,0.62,0.62,0.63,0.62,0.63,0.63,0.62,0.63,0.63,0.62,0.62,0.61,0.62,0.63,0.63,0.63,0.63,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.61,0.6,0.6,0.61,0.61,0.6,0.62,0.61,0.6,0.61,0.6,0.61,0.61,0.62,0.6,0.61,0.62,0.62,0.61,0.62,0.62,0.62,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.61,0.6,0.62,0.61,0.61,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.62,0.61,0.62,0.61,0.6,0.6,0.6,0.61,0.59,0.59,0.6,0.6,0.6,0.61,0.61,0.61,0.62,0.61,0.61,0.62,0.61,0.61,0.61,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.6,0.61,0.61,0.61,0.61,0.6
81.25,0.611875,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.63,0.64,0.63,0.63,0.63,0.61,0.6,0.61,0.62,0.62,0.63,0.63,0.6,0.56,0.58,0.59,0.6,0.63,0.65,0.65,0.64,0.65,0.66,0.67,0.67,0.67,0.66,0.65,0.65,0.63,0.6,0.58,0.58,0.6,0.6,0.59,0.57,0.57,0.58,0.59,0.59,,,,,0.32,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.44,,,,,,,,,,,,,,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
78.75,0.564636364,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.63,0.63,0.63,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.65,0.64,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.61,0.62,0.63,0.61,0.59,0.6,0.63,0.64,0.59,0.52,0.54,0.59,0.63,0.66,0.68,0.7,0.7,0.71,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.7,0.69,0.69,0.68,0.63,0.61,0.61,0.61,0.59,0.58,,,,0.32,0.28,0.29,0.28,0.28,0.36,0.49,0.5,0.47,0.48,0.48,0.41,0.42,0.4,0.43,0.39,0.41,0.42,0.38,0.37,0.37,0.38,0.41,0.4,0.43,0.44,0.43,0.44,0.48,0.48,0.52,0.51,0.49,,,0.54,,,,0.52,0.5,0.42,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.63,0.63,0.63
76.25,0.481157025,,,,,,,,,,,,,0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.6,0.61,0.61,0.6,0.6,0.61,0.6,0.54,0.48,0.47,0.5,0.54,0.59,0.61,0.63,0.65,0.69,0.71,0.72,0.73,0.73,0.73,0.73,0.74,0.73,0.73,0.72,0.7,0.66,0.6,0.52,0.43,0.45,0.45,0.38,0.21,0.2,0.2,0.21,0.21,0.22,0.22,0.21,0.22,0.23,0.22,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.22,0.2,0.21,,0.39,0.41,0.58,0.56,0.58,0.55,0.42,0.43,0.42,0.46,0.46,0.46,0.45,0.5,0.43,0.42,0.44,0.49,0.6,0.57,0.57,0.53,0.54,0.53,0.41,0.43,0.41,0.41,0.4,0.4,0.41,0.39,0.42,0.38,0.38,0.38,0.48,0.44,0.44,0.49,,,,,,,,,,
73.75,0.438699187,,,,,,,,,,,,,,0.53,0.54,0.53,,,0.55,0.52,0.53,0.52,0.53,0.54,0.54,0.57,0.59,0.52,0.63,0.63,0.56,0.43,0.41,0.48,0.4,0.49,0.54,0.56,0.55,0.55,0.54,0.5,0.5,0.36,0.38,0.41,0.4,0.39,0.35,0.41,0.64,0.69,0.71,0.73,0.74,0.74,0.74,0.74,0.74,0.71,0.63,0.56,0.55,0.41,0.38,0.37,0.36,0.33,0.2,0.2,0.19,0.2,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.44,0.49,0.55,0.51,0.41,0.42,0.41,0.4,0.47,0.46,0.41,0.42,0.42,0.41,0.43,0.53,0.52,0.51,0.52,0.52,0.52,0.53,0.52,0.51,0.52,0.41,0.4,0.41,0.39,0.35,0.36,0.38,0.39,0.4,0.39,0.4,0.41,0.42,0.39,0.43,0.43,0.42,0.45,0.47,0.53,0.53,,,,,,
71.25,0.428888889,0.44,0.42,0.39,0.41,0.4,0.36,0.36,0.37,0.48,0.5,0.48,0.49,0.4,0.4,0.4,0.38,0.39,0.36,0.37,0.36,0.36,0.36,0.36,0.51,0.48,0.49,0.57,0.53,0.54,0.56,0.61,0.5,0.44,0.57,0.53,0.53,0.54,0.53,0.53,0.52,0.56,0.57,0.61,0.6,0.38,0.4,0.38,0.38,0.33,0.33,0.38,0.6,0.68,0.72,0.74,0.75,0.75,0.75,0.73,0.69,0.61,0.56,0.56,0.35,0.36,0.32,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.22,0.22,0.22,0.24,0.23,0.22,0.22,0.35,0.35,0.36,0.36,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.21,0.21,0.36,0.39,0.39,0.4,0.4,0.51,0.53,0.52,0.51,0.52,0.51,0.53,0.53,0.53,0.52,0.5,0.48,0.47,0.47,0.47,0.5,0.5,0.46,0.44,0.45,0.45,0.46,0.48,0.49,0.47,0.49,0.37,0.47,0.47,0.49,0.49,0.49,0.37,0.49,0.49,0.37,0.37,0.38,0.4,0.41,0.44,0.42,0.44,0.44,0.46
68.75,0.429097222,0.41,0.39,0.38,0.35,0.34,0.35,0.46,0.5,0.49,0.48,0.46,0.45,0.47,0.45,0.43,0.44,0.42,0.43,0.42,0.42,0.41,0.43,0.45,0.46,0.46,0.48,0.5,0.5,0.5,0.5,0.52,0.52,0.54,0.55,0.56,0.56,0.43,0.48,0.52,0.47,0.36,0.38,0.51,0.52,0.57,0.54,0.4,0.39,0.36,0.19,0.36,0.54,0.66,0.72,0.73,0.74,0.74,0.73,0.68,0.64,0.55,0.45,0.36,0.3,0.18,0.2,0.19,0.2,0.19,0.21,0.2,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.37,0.39,0.39,0.39,0.38,0.37,0.36,0.34,0.39,0.37,0.19,0.19,0.2,0.19,0.18,0.45,0.46,0.48,0.49,0.49,0.48,0.49,0.5,0.5,0.49,0.48,0.49,0.5,0.49,0.51,0.5,0.51,0.5,0.49,0.42,0.4,0.42,0.42,0.41,0.41,0.39,0.39,0.38,0.4,0.45,0.45,0.42,0.39,0.41,0.44,0.44,0.42,0.41,0.43,0.44,0.46,0.45,0.45,0.48,0.49,0.5,0.51,0.52,0.52,0.5,0.51
